driverId,total_points,avg_points,race_count,avg_position,wins,win_rate
1,4820.5,14.786809815950921,326,3.644171779141104,105.0,0.3220858895705521
2,259.0,1.8768115942028984,138,8.355072463768115,0.0,0.0
3,1594.5,9.008474576271187,177,6.3559322033898304,23.0,0.12994350282485875
4,2329.0,6.973053892215569,334,6.4640718562874255,32.0,0.09580838323353294
5,105.0,1.1538461538461537,91,11.835164835164836,1.0,0.01098901098901099
6,9.0,0.3,30,12.2,0.0,0.0
7,6.0,0.3,20,12.25,0.0,0.0
8,1873.0,6.571929824561403,285,6.23859649122807,21.0,0.07368421052631578
9,274.0,3.223529411764706,85,9.423529411764706,1.0,0.011764705882352941
10,51.0,0.6891891891891891,74,13.77027027027027,0.0,0.0
11,44.0,0.7457627118644068,59,11.576271186440678,0.0,0.0
12,19.0,1.1176470588235294,17,10.470588235294118,0.0,0.0
13,1167.0,5.096069868995633,229,7.2663755458515285,11.0,0.048034934497816595
14,535.0,3.165680473372781,169,5.828402366863905,13.0,0.07692307692307693
15,246.5,1.45,170,9.470588235294118,1.0,0.0058823529411764705
16,124.0,1.3932584269662922,89,12.47191011235955,0.0,0.0
17,1047.5,6.546875,160,6.6,9.0,0.05625
18,1235.0,5.103305785123967,242,7.409090909090909,15.0,0.06198347107438017
19,0.0,0.0,14,14.285714285714286,0.0,0.0
20,3098.0,11.82442748091603,262,5.282442748091603,53.0,0.20229007633587787
21,275.0,1.6975308641975309,162,8.228395061728396,3.0,0.018518518518518517
22,658.0,2.873362445414847,229,7.056768558951965,11.0,0.048034934497816595
23,329.0,2.69672131147541,122,6.254098360655738,6.0,0.04918032786885246
24,26.0,0.4727272727272727,55,13.818181818181818,0.0,0.0
25,45.0,0.9574468085106383,47,8.319148936170214,0.0,0.0
26,0.0,0.0,17,12.294117647058824,0.0,0.0
27,4.0,0.14285714285714285,28,14.0,0.0,0.0
29,0.0,0.0,14,17.428571428571427,0.0,0.0
30,1566.0,6.4979253112033195,241,3.7012448132780085,91.0,0.3775933609958506
31,307.0,4.951612903225806,62,4.209677419354839,7.0,0.11290322580645161
32,14.0,0.4,35,11.228571428571428,0.0,0.0
33,7.0,0.2413793103448276,29,13.344827586206897,0.0,0.0
34,0.0,0.0,1,13.0,0.0,0.0
35,235.0,2.175925925925926,108,7.046296296296297,11.0,0.10185185185185185
36,0.0,0.0,3,16.666666666666668,0.0,0.0
37,35.0,0.625,56,12.339285714285714,0.0,0.0
38,0.0,0.0,9,14.11111111111111,0.0,0.0
39,5.0,0.15151515151515152,33,17.181818181818183,0.0,0.0
40,3.0,0.6,5,14.4,0.0,0.0
41,3.0,0.15789473684210525,19,9.894736842105264,0.0,0.0
42,8.0,0.7272727272727273,11,9.909090909090908,0.0,0.0
43,13.0,0.65,20,9.85,0.0,0.0
44,76.0,0.7676767676767676,99,8.727272727272727,1.0,0.010101010101010102
45,0.0,0.0,6,14.666666666666666,0.0,0.0
46,0.0,0.0,9,15.88888888888889,0.0,0.0
47,1.0,0.08333333333333333,12,13.5,0.0,0.0
48,5.0,0.21739130434782608,23,11.347826086956522,0.0,0.0
49,174.0,1.8125,96,6.520833333333333,3.0,0.03125
50,17.0,0.3469387755102041,49,10.53061224489796,0.0,0.0
51,1.0,0.14285714285714285,7,12.571428571428571,0.0,0.0
52,1.0,0.125,8,11.75,0.0,0.0
53,0.0,0.0,5,12.8,0.0,0.0
54,0.0,0.0,9,10.222222222222221,0.0,0.0
